season,date,home_team,away_team,home_score,away_score,home_xg,away_xg,home_PPDA,home_season_xPTS,home_season_xG,home_season_xGA,away_PPDA,away_season_xPTS,away_season_xG,away_season_xGA
15/16,12/5/15,MUN,WHU,0.0,0.0,1.76,1.1,7.73,56.44,45.42,39.66,9.31,49.8,54.4,55.48
15/16,12/5/15,SOU,AVL,1.0,1.0,2.86,1.06,9.12,61.08,56.2,44.29,12.2,29.83,26.53,59.01
15/16,12/5/15,CHE,BOU,0.0,1.0,1.67,1.26,8.53,59.62,54.48,44.63,9.03,43.74,38.71,53.97
15/16,12/6/15,NEW,LIV,2.0,0.0,0.65,1.0,11.48,40.21,37.61,55.42,7.48,63.29,54.37,37.88
15/16,12/7/15,EVE,CRY,1.0,1.0,1.7,1.19,11.12,52.69,53.98,54.75,9.03,44.89,42.51,52.94
15/16,12/12/15,NOR,EVE,1.0,1.0,1.49,2.44,11.82,39.18,39.19,58.93,11.12,52.69,53.98,54.75
15/16,12/12/15,MCI,SWA,2.0,1.0,1.34,0.96,7.78,70.14,66.2,37.47,9.46,42.4,39.96,53.63
15/16,12/12/15,SUN,WAT,0.0,1.0,0.88,2.06,11.64,40.52,40.52,58.85,9.39,48.25,43.2,51.85
15/16,12/12/15,CRY,SOU,1.0,0.0,1.31,0.89,9.03,44.89,42.51,52.94,9.12,61.08,56.2,44.29
15/16,12/12/15,WHU,STK,0.0,0.0,1.13,1.87,9.31,49.8,54.4,55.48,9.94,48.3,42.63,54.35
15/16,12/12/15,BOU,MUN,2.0,1.0,1.05,1.97,9.03,43.74,38.71,53.97,7.73,56.44,45.42,39.66
15/16,12/13/15,AVL,ARS,0.0,2.0,1.01,1.68,12.2,29.83,26.53,59.01,8.35,77.01,73.53,33.86
15/16,12/13/15,LIV,WBA,2.0,2.0,2.13,0.84,7.48,63.29,54.37,37.88,11.41,42.3,39.75,51.94
15/16,12/13/15,TOT,NEW,1.0,2.0,1.03,1.55,6.44,69.43,63.42,37.08,11.48,40.21,37.61,55.42
15/16,12/14/15,LEI,CHE,2.0,1.0,0.71,2.27,9.57,68.94,68.42,45.02,8.53,59.62,54.48,44.63
15/16,12/19/15,WBA,BOU,1.0,2.0,0.7,1.89,11.41,42.3,39.75,51.94,9.03,43.74,38.71,53.97
15/16,12/19/15,SOU,TOT,0.0,2.0,0.83,1.47,9.12,61.08,56.2,44.29,6.44,69.43,63.42,37.08
15/16,12/19/15,STK,CRY,1.0,2.0,2.41,1.95,9.94,48.3,42.63,54.35,9.03,44.89,42.51,52.94
15/16,12/19/15,CHE,SUN,3.0,1.0,3.02,1.24,8.53,59.62,54.48,44.63,11.64,40.52,40.52,58.85
15/16,12/19/15,EVE,LEI,2.0,3.0,1.49,2.03,11.12,52.69,53.98,54.75,9.57,68.94,68.42,45.02
15/16,12/19/15,MUN,NOR,1.0,2.0,1.01,0.56,7.73,56.44,45.42,39.66,11.82,39.18,39.19,58.93
15/16,12/19/15,NEW,AVL,1.0,1.0,1.28,0.4,11.48,40.21,37.61,55.42,12.2,29.83,26.53,59.01
15/16,12/20/15,WAT,LIV,3.0,0.0,1.99,0.38,9.39,48.25,43.2,51.85,7.48,63.29,54.37,37.88
15/16,12/20/15,SWA,WHU,0.0,0.0,0.97,0.4,9.46,42.4,39.96,53.63,9.31,49.8,54.4,55.48
15/16,12/21/15,ARS,MCI,2.0,1.0,1.5,0.77,8.35,77.01,73.53,33.86,7.78,70.14,66.2,37.47
15/16,12/26/15,STK,MUN,2.0,0.0,1.18,1.29,9.94,48.3,42.63,54.35,7.73,56.44,45.42,39.66
15/16,12/26/15,SWA,WBA,1.0,0.0,1.21,0.55,9.46,42.4,39.96,53.63,11.41,42.3,39.75,51.94
15/16,12/26/15,TOT,NOR,3.0,0.0,2.41,0.45,6.44,69.43,63.42,37.08,11.82,39.18,39.19,58.93
15/16,12/26/15,AVL,WHU,1.0,1.0,1.61,0.84,12.2,29.83,26.53,59.01,9.31,49.8,54.4,55.48
15/16,12/26/15,BOU,CRY,0.0,0.0,0.87,0.41,9.03,43.74,38.71,53.97,9.03,44.89,42.51,52.94
15/16,12/26/15,CHE,WAT,2.0,2.0,2.09,1.67,8.53,59.62,54.48,44.63,9.39,48.25,43.2,51.85
15/16,12/26/15,LIV,LEI,1.0,0.0,1.38,0.51,7.48,63.29,54.37,37.88,9.57,68.94,68.42,45.02
15/16,12/26/15,MCI,SUN,4.0,1.0,3.52,1.08,7.78,70.14,66.2,37.47,11.64,40.52,40.52,58.85
15/16,12/26/15,NEW,EVE,0.0,1.0,1.36,1.7,11.48,40.21,37.61,55.42,11.12,52.69,53.98,54.75
15/16,12/26/15,SOU,ARS,4.0,0.0,2.43,0.83,9.12,61.08,56.2,44.29,8.35,77.01,73.53,33.86
15/16,12/28/15,WBA,NEW,1.0,0.0,2.1,0.46,11.41,42.3,39.75,51.94,11.48,40.21,37.61,55.42
15/16,12/28/15,WAT,TOT,1.0,2.0,1.13,0.53,9.39,48.25,43.2,51.85,6.44,69.43,63.42,37.08
15/16,12/28/15,NOR,AVL,2.0,0.0,1.1,0.24,11.82,39.18,39.19,58.93,12.2,29.83,26.53,59.01
15/16,12/28/15,CRY,SWA,0.0,0.0,0.74,0.17,9.03,44.89,42.51,52.94,9.46,42.4,39.96,53.63
15/16,12/28/15,EVE,STK,3.0,4.0,2.25,1.58,11.12,52.69,53.98,54.75,9.94,48.3,42.63,54.35
15/16,12/28/15,ARS,BOU,2.0,0.0,3.13,0.34,8.35,77.01,73.53,33.86,9.03,43.74,38.71,53.97
15/16,12/28/15,MUN,CHE,0.0,0.0,1.35,0.9,7.73,56.44,45.42,39.66,8.53,59.62,54.48,44.63
15/16,12/28/15,WHU,SOU,2.0,1.0,1.8,1.37,9.31,49.8,54.4,55.48,9.12,61.08,56.2,44.29
15/16,12/29/15,LEI,MCI,0.0,0.0,0.81,1.67,9.57,68.94,68.42,45.02,7.78,70.14,66.2,37.47
15/16,12/30/15,SUN,LIV,0.0,1.0,0.48,1.81,11.64,40.52,40.52,58.85,7.48,63.29,54.37,37.88
15/16,1/2/16,WHU,LIV,2.0,0.0,2.07,1.87,9.31,49.8,54.4,55.48,7.48,63.29,54.37,37.88
15/16,1/2/16,WBA,STK,2.0,1.0,1.72,0.92,11.41,42.3,39.75,51.94,9.94,48.3,42.63,54.35
15/16,1/2/16,ARS,NEW,1.0,0.0,1.93,1.15,8.35,77.01,73.53,33.86,11.48,40.21,37.61,55.42
15/16,1/2/16,LEI,BOU,0.0,0.0,2.29,1.26,9.57,68.94,68.42,45.02,9.03,43.74,38.71,53.97
15/16,1/2/16,MUN,SWA,2.0,1.0,1.74,0.54,7.73,56.44,45.42,39.66,9.46,42.4,39.96,53.63
15/16,1/2/16,NOR,SOU,1.0,0.0,1.51,0.93,11.82,39.18,39.19,58.93,9.12,61.08,56.2,44.29
15/16,1/2/16,SUN,AVL,3.0,1.0,0.76,0.28,11.64,40.52,40.52,58.85,12.2,29.83,26.53,59.01
15/16,1/2/16,WAT,MCI,1.0,2.0,0.99,0.69,9.39,48.25,43.2,51.85,7.78,70.14,66.2,37.47
15/16,1/3/16,CRY,CHE,0.0,3.0,0.55,2.37,9.03,44.89,42.51,52.94,8.53,59.62,54.48,44.63
15/16,1/3/16,EVE,TOT,1.0,1.0,0.72,0.76,11.12,52.69,53.98,54.75,6.44,69.43,63.42,37.08
15/16,1/12/16,NEW,MUN,3.0,3.0,1.81,2.36,11.48,40.21,37.61,55.42,7.73,56.44,45.42,39.66
15/16,1/12/16,AVL,CRY,1.0,0.0,0.55,0.55,12.2,29.83,26.53,59.01,9.03,44.89,42.51,52.94
15/16,1/12/16,BOU,WHU,1.0,3.0,0.73,1.18,9.03,43.74,38.71,53.97,9.31,49.8,54.4,55.48
15/16,1/13/16,SOU,WAT,2.0,0.0,1.72,0.12,9.12,61.08,56.2,44.29,9.39,48.25,43.2,51.85
15/16,1/13/16,STK,NOR,3.0,1.0,1.24,0.19,9.94,48.3,42.63,54.35,11.82,39.18,39.19,58.93
15/16,1/13/16,SWA,SUN,2.0,4.0,1.07,2.49,9.46,42.4,39.96,53.63,11.64,40.52,40.52,58.85
